,idtramo,transito (vh/h),des_tramo,coordinates,color
344,B77,144,PADRE PORTA,"[[-0.3355365146, 39.4601428836], [-0.33537103970000004, 39.4608572494]]","(0, 255, 0)"
345,B79,216,PEDRO III,"[[-0.367810446, 39.4630889844], [-0.3668400617, 39.463494235]]","(0, 255, 0)"
346,B80,21,TRAVESÍA PESCADORES,"[[-0.3279765416, 39.4696219021], [-0.3255122568, 39.4693751567], [-0.32475375970000003, 39.4693718865]]","(0, 255, 0)"
347,B81,54,PINTOR GENARO LAHUERTA,"[[-0.3675767458, 39.4849100021], [-0.3667085097, 39.4867321714]]","(0, 255, 0)"
348,B82,144,PINTOR SALVADOR ABRIL,"[[-0.3689258145, 39.4610286416], [-0.3682522205, 39.4600902765]]","(0, 255, 0)"
349,B83,240,PINTOR VILAR,"[[-0.3705233797, 39.4821220731], [-0.37267619090000004, 39.4825547494]]","(0, 255, 0)"
350,B84,570,PLATERO SUÁREZ,"[[-0.3746093111, 39.4852913273], [-0.3709095398, 39.4851763616]]","(255, 165, 0)"
351,B86,81,POETA MAS Y ROS,"[[-0.3508295972, 39.4711450667], [-0.3466978631, 39.4699533299]]","(0, 255, 0)"
352,B87,30,POETA MONMENEU,"[[-0.3749621004, 39.482774065], [-0.3772554853, 39.4827803656]]","(0, 255, 0)"
353,B88,60,PROGRESO,"[[-0.3291630139, 39.4742821141], [-0.3291149843, 39.4751034708]]","(0, 255, 0)"
354,B89,30,POBLA DEL DUC,"[[-0.3753569277, 39.4879961288], [-0.3763065481, 39.4863885178]]","(0, 255, 0)"
355,B9,90,ARTES GRÁFICAS,"[[-0.3588104512, 39.475661019], [-0.3640080418, 39.4771789005]]","(0, 255, 0)"
356,B90,36,POBLA LLARGA,"[[-0.35966749670000003, 39.4840085013], [-0.36020104340000003, 39.4828421068]]","(0, 255, 0)"
357,B91,144,RAMÓN ASENSIO,"[[-0.35951818700000004, 39.4814079465], [-0.3582939329, 39.4824151101], [-0.3577679814, 39.4834563295]]","(0, 255, 0)"
358,B92,270,RAMÓN DUART,"[[-0.36705868620000004, 39.4550784308], [-0.3653267821, 39.4525853562]]","(0, 255, 0)"
359,B93,180,REINA DOÑA GERMANA,"[[-0.365680889, 39.4639846914], [-0.36457032770000003, 39.4644446807]]","(0, 255, 0)"
360,B94,47,RIO TAJO,"[[-0.3299170216, 39.4765429567], [-0.3257715869, 39.476498124]]","(0, 255, 0)"
361,B95,1,RODRÍGUEZ DE CEPEDA,"[[-0.3520850782, 39.4683304517], [-0.35033801330000003, 39.4678089775]]","(0, 255, 0)"
362,B97,126,SAGASTA,"[[-0.373892025, 39.4698533043], [-0.37339015270000003, 39.469792107399996], [-0.3724234476, 39.4697770555]]","(0, 255, 0)"
363,A111,2664,GENERAL AVILES,"[[-0.389510909, 39.4886268672], [-0.3960877914, 39.4858276211]]","(255, 0, 0)"
364,A112,2640,GENERAL ELIO,"[[-0.3679919262, 39.477154079499996], [-0.3672955133, 39.4775062223], [-0.3663542562, 39.4794191583]]","(255, 0, 0)"
365,A114,467,GENERAL URRUTIA,"[[-0.36325861540000004, 39.4566818262], [-0.361491387, 39.4542036419]]","(0, 255, 0)"
